payment_id,invoice_id,payment_date,amount_paid,currency,payment_method
PAY300007,INV200293,25-OCT-2024,4251.38,USD,Wire Transfer
PAY300001,INV200612,2024-10-27,1002.22,USD,Wire Transfer
PAY300002,INV200175,2024-11-01,649.89,USD,Wire Transfer
PAY300011,INV200541,11/02/2024,3016.97,USD,ACH
PAY300009,INV200218,09-NOV-2024,9634.76,USD,Wire Transfer
PAY300016,INV200412,2024-11-17,798.36,USD,  Check
PAY300023,INV200542,2024-11-21,220.39,USD,ach
PAY300008,INV200540,2024-11-24,5576.20,USD,ACH
PAY300003,INV200657,11/27/2024,685.51,USD,check
PAY300028,INV200329,2024-12-01,2370.08,USD,Wire Transfer
PAY300013,INV200368,2024-12-03,6707.21,USD,ACH
PAY300024,INV200374,2024-12-04,664.51,USD,Check
PAY300017,INV200032,2024-12-05,14487.03,USD,Check
PAY300032,INV200369,2024-12-05,1670.85,USD,check
PAY300039,INV200629,12/06/2024,11316.33,USD,ACH
PAY300012,INV200011,2024-12-08,25324.16,USD,Check
PAY300014,INV200281,2024-12-09,46343.34,USD,ACH
PAY300020,INV200273,09-DEC-2024,6959.56,USD,ACH
PAY300010,INV200397,12-DEC-2024,12839.77,USD,  ACH
PAY300021,INV200297,2024-12-12,5467.52,GBP,ACH
PAY300018,INV200228,12/13/2024,415.30,EUR,ACH  
PAY300015,INV200102,2024-12-15,18248.23,USD,Check
PAY300029,INV200590,15-DEC-2024,3112.38,GBP,Wire Transfer
PAY300022,INV200427,2024-12-16,6421.50,USD,Wire Transfer
PAY300030,INV200413,2024-12-17,419.20,USD,WIRE TRANSFER
PAY300026,INV200062,12/18/2024,30610.88,USD,ach
PAY300037,INV200321,12/19/2024,814.29,USD,Wire Transfer
PAY300019,INV200485,2024-12-22,6351.70,USD,Wire Transfer
PAY300042,INV200543,2024-12-22,7168.65,USD,ACH
PAY300049,INV200370,12/23/2024,2783.18,USD,Check
PAY300035,INV200645,26-DEC-2024,5279.64,USD,Check
PAY300036,INV200320,26-DEC-2024,5231.35,USD,ACH
PAY300047,INV200609,26-DEC-2024,998.08,USD,Wire Transfer
PAY300031,INV200234,2024-12-27,4078.59,USD,ACH  
PAY300038,INV200181,2024-12-28,15268.92,USD,ach
PAY300054,INV200610,2024-12-30,988.34,USD,Corporate Card  
PAY300025,INV200561,01-JAN-2025,37390.66,USD,Wire Transfer
PAY300051,INV200330,01/01/2025,4103.90,USD,ach
PAY300033,INV200448,10-JAN-2025,4247.84,USD,Wire Transfer
PAY300048,INV200046,2025-01-14,1946.23,USD,ACH
PAY300040,INV200580,2025-01-15,43302.81,USD,wire transfer
PAY300053,INV200246,01/16/2025,12754.50,USD,Check
PAY300052,INV200274,2025-01-20,4056.36,USD,ACH  
PAY300059,INV200295,2025-01-20,33804.52,USD,ACH
PAY300056,INV200033,25-JAN-2025,18072.55,USD,ACH
PAY300004,INV200589,01/26/2025,1658.07,GBP,ACH
PAY300060,INV200385,2025-01-27,4500.68,USD,ACH
PAY300061,INV200250,2025-02-01,1552.99,USD,  ACH
PAY300069,INV200576,2025-02-03,48069.88,USD,Check
PAY300073,INV200247,2025-02-04,15028.69,USD,corporate card
PAY300006,INV200292,2025-02-05,1296.50,USD,  Wire Transfer
PAY300055,INV200235,02/05/2025,4563.56,USD,Wire Transfer
PAY300046,INV200486,02/06/2025,17378.60,USD,ACH
PAY300072,INV200633,2025-02-06,2681.46,USD,Wire Transfer  
PAY300092,INV200081,2025-02-06,5523.49,USD,Corporate Card  
PAY300100,INV200389,07-FEB-2025,1153.96,USD,ACH
PAY300041,INV200356,2025-02-08,1025.54,USD,Check
PAY300043,INV200298,2025-02-10,2541.56,GBP,Wire Transfer
PAY300063,INV200468,13-FEB-2025,3582.23,USD,Check
PAY300083,INV200464,13-FEB-2025,48985.41,USD,ACH
PAY300099,INV200630,2025-02-13,2218.70,USD,Wire Transfer
PAY300079,INV200237,14-FEB-2025,12490.10,GBP,Check
PAY300070,INV200009,2025-02-16,4688.81,USD,ACH
PAY300082,INV200108,2025-02-16,3455.87,USD,Check
PAY300081,INV200476,02/17/2025,7134.65,USD,ACH
PAY300067,INV200104,2025-02-18,1662.43,USD,ACH
PAY300080,INV200105,2025-02-18,15795.65,GBP,Check
PAY300074,INV200134,2025-02-20,2366.65,USD,ACH
PAY300087,INV200058,2025-02-20,555.49,USD,ACH
PAY300005,INV200426,2025-02-21,2498.71,USD,ACH
PAY300089,INV200497,02/21/2025,22365.25,USD,ACH
PAY300106,INV200331,02/21/2025,10182.44,USD,WIRE TRANSFER
PAY300091,INV200571,2025-02-23,1319.60,USD,ACH
PAY300034,INV200672,2025-02-25,8928.64,USD,ACH
PAY300044,INV200133,02/25/2025,4385.54,USD,Check
PAY300112,INV200085,2025-02-25,7369.42,USD,check
PAY300050,INV200008,26-FEB-2025,6732.35,USD,ACH
PAY300058,INV200519,2025-02-26,457.19,USD,ACH
PAY300045,INV200229,2025-02-27,148.48,EUR,Corporate Card
PAY300077,INV200525,2025-03-01,5492.65,USD,ach
PAY300097,INV200487,2025-03-01,7401.48,USD,Corporate Card
PAY300062,INV200430,2025-03-03,3157.36,USD,ACH
PAY300064,INV200047,2025-03-04,63.72,USD,ACH
PAY300095,INV200669,2025-03-04,5523.49,USD,wire transfer
PAY300108,INV200437,2025-03-04,12501.33,GBP,Corporate Card
