VENDOR_KEY,VENDOR_ID,VENDOR_NAME,CATEGORY,REGION,PAYMENT_TERMS,PAYMENT_TERMS_DAYS,CURRENCY,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,IS_CURRENT,VERSION_NUMBER,SOURCE_CREATION_DATE,SOURCE_LAST_UPDATE,DATA_QUALITY_FLAGS
1,V0001,Johnson Ltd,Raw Materials,EMEA,NET30,30,USD,2022-05-24,2025-09-09,False,1,2022-05-24,2022-05-24,
2,V0002,"Arnold, Mitchell and Jones",Logistics,EMEA,NET45,45,USD,2024-08-09,2025-11-08,False,1,2024-08-09,2024-08-09,
3,V0003,"Stevenson, Walsh and Pierce",Raw Materials,EMEA,NET45,45,USD,2023-05-14,9999-12-31,True,1,2023-05-14,2023-05-14,
4,V0004,Arroyo Ltd,Raw Materials,North America,Unknown,,GBP,2024-05-28,9999-12-31,True,1,2024-05-28,2024-05-28,MISSING_PAYMENT_TERMS
5,V0005,"Bonilla, Jefferson and Brown",Logistics,North America,NET15,15,USD,2023-10-02,9999-12-31,True,1,2023-10-02,2023-10-02,
6,V0006,"Ferguson, Sullivan and Leon",IT Services,EMEA,NET15,15,USD,2022-04-19,9999-12-31,True,1,2022-04-19,2022-04-19,
7,V0007,"Taylor, Johnson And Morgan",IT Services,APAC,NET45,45,USD,2023-10-14,9999-12-31,True,1,2023-10-14,2023-10-14,
8,V0008,"Winters, Campbell and Carr",Office Supplies,EMEA,NET45,45,EUR,2024-08-16,2025-10-22,False,1,2024-08-16,2024-08-16,
9,V0009,Arias LLC,IT Services,EMEA,NET15,15,USD,2023-12-07,9999-12-31,True,1,2023-12-07,2023-12-07,
10,V0010,Reyes Llc,IT Services,EMEA,NET15,15,USD,2022-04-05,9999-12-31,True,1,2022-04-05,2022-04-05,
11,V0011,"Woods, Johnson and Malone",IT Services,North America,NET45,45,GBP,2023-02-06,9999-12-31,True,1,2023-02-06,2023-02-06,
12,V0012,"Wagner, Willis and Alexander",Logistics,LATAM,Unknown,,USD,2023-02-19,9999-12-31,True,1,2023-02-19,2023-02-19,MISSING_PAYMENT_TERMS
13,V0013,"Alvarado, Davis and Gray",Raw Materials,LATAM,NET30,30,USD,2023-10-02,9999-12-31,True,1,2023-10-02,2023-10-02,
14,V0014,Combs-Sanchez,Logistics,APAC,NET60,60,USD,2024-08-29,9999-12-31,True,1,2024-08-29,2024-08-29,
15,V0015,Walton Inc,Raw Materials,North America,NET30,30,USD,2023-05-30,9999-12-31,True,1,2023-05-30,2023-05-30,
16,V0016,Walton-Franklin,Consulting,EMEA,NET30,30,USD,2024-01-17,9999-12-31,True,1,2024-01-17,2024-01-17,
17,V0017,Frost-Yu,IT Services,APAC,NET45,45,USD,2023-11-29,9999-12-31,True,1,2023-11-29,2023-11-29,
18,V0018,"Brennan, Lewis and Reilly",Logistics,APAC,2/10 NET30,30,USD,2022-12-23,9999-12-31,True,1,2022-12-23,2022-12-23,
19,V0019,Cook-Thomas,IT Services,North America,NET60,60,USD,2023-07-05,9999-12-31,True,1,2023-07-05,2023-07-05,
20,V0020,Wood Inc,IT Services,North America,NET15,15,USD,2024-07-18,9999-12-31,True,1,2024-07-18,2024-07-18,
21,V0021,"Esparza, Arnold and Mercer",Consulting,North America,NET60,60,USD,2024-03-22,9999-12-31,True,1,2024-03-22,2024-03-22,
22,V0022,Gallagher-Mason,IT Services,North America,NET30,30,USD,2023-12-05,9999-12-31,True,1,2023-12-05,2023-12-05,
23,V0023,Gonzales and Sons,Raw Materials,North America,NET45,45,USD,2023-06-01,9999-12-31,True,1,2023-06-01,2023-06-01,
24,V0024,Ramos-Hall,Consulting,EMEA,NET15,15,USD,2022-09-30,2025-06-18,False,1,2022-09-30,2022-09-30,
25,V0025,Medina LLC,IT Services,APAC,NET30,30,GBP,2023-01-12,9999-12-31,True,1,2023-01-12,2023-01-12,
26,V0026,Campbell Ltd,Consulting,EMEA,NET45,45,USD,2023-10-22,2025-05-09,False,1,2023-10-22,2023-10-22,
27,V0027,Smith-Rose,IT Services,EMEA,NET30,30,USD,2024-04-09,9999-12-31,True,1,2024-04-09,2024-04-09,
28,V0028,"Ramirez, Lynch and Hogan",Consulting,Unknown,NET60,60,USD,2023-12-24,9999-12-31,True,1,2023-12-24,2023-12-24,MISSING_REGION
29,V0029,Herman LLC,Consulting,APAC,NET60,60,USD,2024-05-27,9999-12-31,True,1,2024-05-27,2024-05-27,
30,V0030,Wallace-Rodriguez,Consulting,EMEA,NET30,30,USD,2023-09-08,9999-12-31,True,1,2023-09-08,2023-09-08,
31,V0031,Phillips-Henry,Raw Materials,EMEA,NET30,30,USD,2022-08-04,9999-12-31,True,1,2022-08-04,2022-08-04,
32,V0032,Klein and Sons,IT Services,North America,Unknown,,USD,2022-04-12,9999-12-31,True,1,2022-04-12,2022-04-12,MISSING_PAYMENT_TERMS
33,V0033,Williams-Kline,Office Supplies,North America,NET60,60,USD,2024-03-25,9999-12-31,True,1,2024-03-25,2024-03-25,
34,V0034,"Moran, Cortez and Martin",Office Supplies,LATAM,NET15,15,EUR,2023-09-27,9999-12-31,True,1,2023-09-27,2023-09-27,
35,V0035,Baker Llc,IT Services,North America,2/10 NET30,30,GBP,2022-05-21,9999-12-31,True,1,2022-05-21,2022-05-21,
36,V0036,Gilbert-Oliver,Consulting,North America,NET45,45,EUR,2022-09-06,9999-12-31,True,1,2022-09-06,2022-09-06,
37,V0037,"Martinez, Wright and Reynolds",Logistics,North America,NET60,60,USD,2022-05-02,9999-12-31,True,1,2022-05-02,2022-05-02,
38,V0038,Ray Inc,IT Services,North America,Unknown,,USD,2023-03-12,9999-12-31,True,1,2023-03-12,2023-03-12,MISSING_PAYMENT_TERMS
39,V0039,"Jones, Lee and Jefferson",Consulting,Unknown,NET60,60,CAD,2022-12-31,9999-12-31,True,1,2022-12-31,2022-12-31,MISSING_REGION
40,V0040,Martinez-Mcmahon,Logistics,APAC,NET30,30,USD,2023-01-08,9999-12-31,True,1,2023-01-08,2023-01-08,
41,V0041,Villarreal-Avila,Raw Materials,LATAM,NET30,30,USD,2024-01-17,9999-12-31,True,1,2024-01-17,2024-01-17,
