VENDOR_ID,VENDOR_NAME,CATEGORY,REGION,INVOICES_PAID,TOTAL_PAID_USD,AVG_DPO_DAYS,AVG_AGREED_TERMS_DAYS,AVG_DAYS_BEYOND_TERMS,LATE_PAYMENTS,PCT_PAID_LATE,WORST_DAYS_LATE
V0026,Campbell Ltd,Consulting,EMEA,1,16918.12,142.0,45.0,97.0,1,100.0,97
V0005,"Bonilla, Jefferson and Brown",Logistics,North America,1,813.72,72.0,15.0,57.0,1,100.0,57
V0037,"Martinez, Wright and Reynolds",Logistics,North America,4,4958.41,87.0,60.0,27.0,2,50.0,99
V0025,Medina LLC,IT Services,APAC,18,103311.29,50.9,30.0,20.9,9,50.0,106
V0003,"Stevenson, Walsh and Pierce",Raw Materials,EMEA,2,23995.22,64.5,45.0,19.5,1,50.0,39
V0024,Ramos-Hall,Logistics,EMEA,11,96258.55,40.2,25.9,14.3,4,36.4,86
V0029,Herman LLC,Consulting,APAC,9,82003.34,73.7,60.0,13.7,2,22.2,91
V0001,Johnson Ltd,IT Services,EMEA,18,484643.25,53.8,40.8,12.9,8,44.4,94
V0031,Phillips-Henry,Raw Materials,EMEA,19,496225.03,42.5,30.0,12.5,7,36.8,102
V0009,Arias LLC,IT Services,EMEA,61,306889.80,24.7,15.0,9.7,17,27.9,103
V0040,Martinez-Mcmahon,Logistics,APAC,28,31618.24,39.6,30.0,9.6,6,21.4,105
V0050,Sims Ltd,Raw Materials,EMEA,10,301221.79,39.3,30.0,9.3,2,20.0,102
V0045,Wolfe-Macdonald,IT Services,North America,5,28071.19,54.0,45.0,9.0,1,20.0,58
V0027,Smith-Rose,IT Services,EMEA,21,118440.53,38.8,30.0,8.8,5,23.8,91
V0020,Wood Inc,IT Services,North America,14,126502.74,23.4,15.0,8.4,5,35.7,67
V0016,Walton-Franklin,Consulting,EMEA,14,282651.93,37.9,30.0,7.9,6,42.9,43
V0021,"Esparza, Arnold and Mercer",Consulting,North America,8,134261.66,67.4,60.0,7.4,4,50.0,45
V0018,"Brennan, Lewis and Reilly",Logistics,APAC,17,28908.50,37.2,30.0,7.2,3,17.6,93
V0038,Ray Inc,IT Services,North America,19,99331.86,52.1,45.0,7.1,6,31.6,83
V0039,"Jones, Lee and Jefferson",Consulting,Unknown,9,71871.29,66.4,60.0,6.4,1,11.1,107
V0013,"Alvarado, Davis and Gray",Raw Materials,LATAM,3,54571.41,36.0,30.0,6.0,1,33.3,30
V0048,"Williams, Hodges And Lee",Raw Materials,North America,35,604930.07,50.9,45.0,5.9,8,22.9,96
V0042,"Woodard, Harrell and Bell",Consulting,Unknown,36,782745.43,50.0,45.0,5.0,9,25.0,85
V0047,"Sutton, Parker and Scott",Office Supplies,LATAM,8,6310.82,35.0,30.0,5.0,3,37.5,30
V0034,"Moran, Cortez and Martin",Office Supplies,LATAM,8,7067.34,19.9,15.0,4.9,4,50.0,25
V0035,Baker Llc,IT Services,North America,10,57738.49,34.6,30.0,4.6,4,40.0,50
V0033,Williams-Kline,Office Supplies,North America,5,4056.54,64.0,60.0,4.0,2,40.0,28
V0043,"Morrow, Miller And Brooks",IT Services,North America,7,60060.65,31.6,27.9,3.7,2,28.6,29
V0032,Klein and Sons,IT Services,North America,23,127185.60,48.6,45.0,3.6,6,26.1,91
V0030,Wallace-Rodriguez,Consulting,EMEA,17,210675.97,33.1,30.0,3.1,4,23.5,87
V0017,Frost-Yu,IT Services,APAC,33,172353.94,47.8,45.0,2.8,7,21.2,93
V0004,Arroyo Ltd,Raw Materials,North America,14,401976.38,32.8,30.0,2.8,3,21.4,51
V0002,"Arnold, Mitchell and Jones",Logistics,EMEA,19,43924.19,43.0,40.3,2.7,4,21.1,53
V0023,Gonzales and Sons,Raw Materials,North America,10,183654.10,45.1,45.0,0.1,2,20.0,34
V0014,Combs-Sanchez,Logistics,APAC,1,1126.56,60.0,60.0,0.0,0,0.0,0
V0012,"Wagner, Willis and Alexander",Logistics,LATAM,10,13418.05,29.6,30.0,-0.4,2,20.0,26
V0008,"Winters, Campbell and Carr",Raw Materials,EMEA,13,4622.77,30.0,31.2,-1.2,2,15.4,34
V0028,"Ramirez, Lynch and Hogan",Consulting,Unknown,8,179030.41,57.6,60.0,-2.4,1,12.5,31
V0010,Reyes Llc,IT Services,EMEA,1,10182.44,12.0,15.0,-3.0,0,0.0,0
V0049,"Gallagher, Taylor and Perry",IT Services,EMEA,6,53794.94,26.2,30.0,-3.8,1,16.7,13
V0041,Villarreal-Avila,Raw Materials,LATAM,5,150710.33,25.8,30.0,-4.2,0,0.0,0
V0006,"Ferguson, Sullivan and Leon",IT Services,EMEA,1,6218.67,9.0,15.0,-6.0,0,0.0,0
V0046,"Roth, Johnson And Glover",Logistics,APAC,1,3391.58,53.0,60.0,-7.0,0,0.0,0
V0022,Gallagher-Mason,IT Services,North America,7,61942.33,22.3,30.0,-7.7,0,0.0,0
V0007,"Taylor, Johnson And Morgan",IT Services,APAC,10,46034.53,36.6,45.0,-8.4,1,10.0,7
V0011,"Woods, Johnson and Malone",IT Services,North America,2,16301.34,36.5,45.0,-8.5,0,0.0,0
V0044,Munoz PLC,Raw Materials,APAC,1,10580.72,19.0,30.0,-11.0,0,0.0,0
V0019,Cook-Thomas,IT Services,North America,1,9578.25,43.0,60.0,-17.0,0,0.0,0
