INVOICE_1,INVOICE_2,VENDOR_ID,VENDOR_NAME,AMOUNT,CURRENCY,POTENTIAL_DUPLICATE_AMOUNT_USD,INVOICE_1_DATE,INVOICE_2_DATE,DAYS_APART,INVOICE_1_PO,INVOICE_2_PO,INVOICE_1_STATUS,INVOICE_2_STATUS,RECOMMENDED_ACTION
INV200259,INV200671,V0016,Walton-Franklin,23938.61,USD,23938.61,2025-08-06,2025-08-08,2,PO100204,PO100204,Paid,Paid,BOTH PAID - recover overpayment
INV200079,INV200666,V0042,"Woodard, Harrell and Bell",22823.14,USD,22823.14,2025-08-11,2025-08-12,1,PO100070,PO100070,Paid,Paid,BOTH PAID - recover overpayment
INV200628,INV200672,V0024,Ramos-Hall,8928.64,USD,8928.64,2024-11-25,2024-11-27,2,PO100474,PO100474,Unpaid,Paid,ONE PAID - hold the second
INV200126,INV200662,V0001,Johnson Ltd,7731.38,USD,7731.38,2026-08-12,2026-08-13,1,PO100105,PO100105,Unpaid,Unpaid,NEITHER PAID - block before payment run
INV200081,INV200669,V0009,Arias LLC,5523.49,USD,5523.49,2025-01-28,2025-01-29,1,PO100072,PO100072,Paid,Paid,BOTH PAID - recover overpayment
INV200363,INV200667,V0016,Walton-Franklin,4914.88,USD,4914.88,2026-05-31,2026-06-03,3,PO100279,PO100279,Paid,Paid,BOTH PAID - recover overpayment
INV200290,INV200660,V0048,"Williams, Hodges And Lee",3873.59,USD,3873.59,2025-05-12,2025-05-13,1,PO100225,PO100225,Paid,Paid,BOTH PAID - recover overpayment
INV200084,INV200659,V0007,"Taylor, Johnson And Morgan",3831.27,USD,3831.27,2025-10-17,2025-10-20,3,PO100074,PO100074,Paid,Paid,BOTH PAID - recover overpayment
INV200217,INV200664,V0009,Arias LLC,3103.72,USD,3103.72,2025-09-22,2025-09-23,1,PO100173,PO100173,Paid,Paid,BOTH PAID - recover overpayment
INV200160,INV200661,V0048,"Williams, Hodges And Lee",3074.08,USD,3074.08,2025-05-24,2025-05-26,2,PO100131,PO100131,Paid,Paid,BOTH PAID - recover overpayment
INV200495,INV200665,V0035,Baker Llc,2335.37,GBP,2965.92,2026-02-13,2026-02-14,1,PO100376,PO100376,Paid,Paid,BOTH PAID - recover overpayment
INV200250,INV200663,V0040,Martinez-Mcmahon,1552.99,USD,1552.99,2025-01-02,2025-01-04,2,PO100196,PO100196,Paid,Paid,BOTH PAID - recover overpayment
INV200158,INV200670,V0018,"Brennan, Lewis and Reilly",1471.28,USD,1471.28,2025-08-21,2025-08-23,2,PO100129,PO100129,Paid,Paid,BOTH PAID - recover overpayment
INV200053,INV200668,V0040,Martinez-Mcmahon,1415.49,USD,1415.49,2026-02-23,2026-02-24,1,PO100045,PO100045,Paid,Paid,BOTH PAID - recover overpayment
