PO_ID,VENDOR_ID,VENDOR_NAME,PO_DATE,PO_STATUS,PO_AMOUNT,CURRENCY,INVOICE_COUNT,TOTAL_INVOICED,VARIANCE_AMOUNT,PCT_VARIANCE,INVOICE_IDS,RECEIPT_STATUS,MATCH_STATUS,EXCEPTION_TYPE
PO100070,V0042,"Woodard, Harrell and Bell",2025-07-27,Cancelled,22337.84,USD,2,45646.28,23308.44,104.35,"INV200079, INV200666",Received,Exception - Review,Over-billed - do not pay difference
PO100173,V0009,Arias LLC,2025-08-20,Partially Received,3095.54,USD,2,6207.44,3111.90,100.53,"INV200217, INV200664",Received,Exception - Review,Over-billed - do not pay difference
PO100196,V0040,Martinez-Mcmahon,2024-10-27,Open,1549.86,USD,2,3105.98,1556.12,100.40,"INV200250, INV200663",Received,Exception - Review,Over-billed - do not pay difference
PO100105,V0001,Johnson Ltd,2026-06-19,Closed,7751.37,USD,2,15462.76,7711.39,99.48,"INV200126, INV200662",Received,Exception - Review,Over-billed - do not pay difference
PO100204,V0016,Walton-Franklin,2025-06-17,Closed,24120.04,USD,2,47877.22,23757.18,98.50,"INV200259, INV200671",Received,Exception - Review,Over-billed - do not pay difference
PO100045,V0040,Martinez-Mcmahon,2026-01-16,Closed,1443.03,USD,2,2830.98,1387.95,96.18,"INV200053, INV200668",Received,Exception - Review,Over-billed - do not pay difference
PO100074,V0007,"Taylor, Johnson And Morgan",2025-09-08,Closed,3917.18,USD,2,7662.54,3745.36,95.61,"INV200084, INV200659",Received,Exception - Review,Over-billed - do not pay difference
PO100129,V0018,"Brennan, Lewis and Reilly",2025-07-14,Closed,1504.99,USD,2,2942.56,1437.57,95.52,"INV200158, INV200670",Received,Exception - Review,Over-billed - do not pay difference
PO100376,V0035,Baker Llc,2026-01-09,Closed,2976.62,GBP,3,5294.07,2317.45,77.86,"INV200495, INV200496, INV200665",Received,Exception - Review,Over-billed - do not pay difference
PO100225,V0048,"Williams, Hodges And Lee",2025-04-17,Closed,5707.09,USD,3,9512.58,3805.49,66.68,"INV200290, INV200291, INV200660",Received,Exception - Review,Over-billed - do not pay difference
PO100131,V0048,"Williams, Hodges And Lee",2025-04-25,Closed,5923.99,USD,3,9039.07,3115.08,52.58,"INV200160, INV200161, INV200661",Received,Exception - Review,Over-billed - do not pay difference
PO100474,V0024,Ramos-Hall,2024-10-05,Closed,20122.81,USD,3,29173.61,9050.80,44.98,"INV200628, INV200629, INV200672",Received,Exception - Review,Over-billed - do not pay difference
PO100072,V0009,Arias LLC,2024-12-22,Partially Received,17413.90,USD,3,22941.10,5527.20,31.74,"INV200081, INV200082, INV200669",Received,Exception - Review,Over-billed - do not pay difference
PO100279,V0016,Walton-Franklin,2026-04-23,Open,18688.37,USD,3,23855.83,5167.46,27.65,"INV200362, INV200363, INV200667",Received,Exception - Review,Over-billed - do not pay difference
PO100459,V0040,Martinez-Mcmahon,2025-05-05,Open,2916.24,USD,1,2133.52,-782.72,-26.84,INV200607,NO GOODS RECEIPT,Exception - Review,Under-billed - expect further invoices
PO100285,V0009,Arias LLC,2026-03-22,Closed,6785.64,USD,1,5026.38,-1759.26,-25.93,INV200371,Received,Exception - Review,Under-billed - expect further invoices
PO100383,V0002,"Arnold, Mitchell and Jones",2025-08-21,Closed,7896.96,USD,1,9913.00,2016.04,25.53,INV200505,Received,Exception - Review,Over-billed - do not pay difference
PO100408,V0048,"Williams, Hodges And Lee",2025-08-07,Partially Received,50676.22,USD,1,63181.03,12504.81,24.68,INV200537,Received,Exception - Review,Over-billed - do not pay difference
PO100159,V0043,"Morrow, Miller And Brooks",2024-12-28,Closed,9255.92,USD,1,7032.42,-2223.50,-24.02,INV200197,Received,Exception - Review,Under-billed - expect further invoices
PO100181,V0009,Arias LLC,2025-01-19,Closed,10035.53,USD,1,12417.46,2381.93,23.73,INV200227,Received,Exception - Review,Over-billed - do not pay difference
PO100317,V0012,"Wagner, Willis and Alexander",2025-08-28,Open,872.99,USD,1,688.56,-184.43,-21.13,INV200407,Received,Exception - Review,Under-billed - expect further invoices
PO100106,V0048,"Williams, Hodges And Lee",2025-11-22,Closed,29353.03,USD,3,35432.80,6079.77,20.71,"INV200127, INV200128, INV200129",Received,Exception - Review,Over-billed - do not pay difference
PO100475,V0009,Arias LLC,2025-01-04,Closed,3246.37,USD,3,3906.78,660.41,20.34,"INV200630, INV200631, INV200632",Received,Exception - Review,Over-billed - do not pay difference
PO100044,V0048,"Williams, Hodges And Lee",2026-04-08,Open,5860.06,USD,1,7039.76,1179.70,20.13,INV200052,Received,Exception - Review,Over-billed - do not pay difference
PO100247,V0050,Sims Ltd,2025-12-16,Closed,57559.41,USD,1,68842.95,11283.54,19.60,INV200322,Received,Exception - Review,Over-billed - do not pay difference
PO100253,V0042,"Woodard, Harrell and Bell",2025-10-06,Partially Received,5396.83,USD,1,6443.23,1046.40,19.39,INV200328,Received,Exception - Review,Over-billed - do not pay difference
PO100278,V0012,"Wagner, Willis and Alexander",2026-03-19,Closed,913.08,USD,1,1084.93,171.85,18.82,INV200361,Received,Exception - Review,Over-billed - do not pay difference
PO100379,V0018,"Brennan, Lewis and Reilly",2025-09-03,Closed,1996.50,USD,1,2355.03,358.53,17.96,INV200501,Received,Exception - Review,Over-billed - do not pay difference
PO100337,V0001,Johnson Ltd,2025-01-08,Partially Received,23031.87,USD,2,26467.76,3435.89,14.92,"INV200433, INV200434",Received,Exception - Review,Over-billed - do not pay difference
PO100183,V0008,"Winters, Campbell and Carr",2024-09-18,Open,657.45,EUR,2,563.78,-93.67,-14.25,"INV200228, INV200229",Received,Exception - Review,Under-billed - expect further invoices
PO100438,V0021,"Esparza, Arnold and Mercer",2026-04-13,Partially Received,54848.24,USD,2,47975.25,-6872.99,-12.53,"INV200581, INV200582",Received,Exception - Review,Under-billed - expect further invoices
PO100142,V0040,Martinez-Mcmahon,2024-09-03,Closed,579.29,USD,1,649.89,70.60,12.19,INV200175,Received,Exception - Review,Over-billed - do not pay difference
PO100371,V0001,Johnson Ltd,2025-12-29,Closed,39436.46,USD,1,43804.32,4367.86,11.08,INV200488,Received,Exception - Review,Over-billed - do not pay difference
PO100086,V0042,"Woodard, Harrell and Bell",2025-07-25,Closed,15462.49,USD,1,16908.19,1445.70,9.35,INV200099,Received,Exception - Review,Over-billed - do not pay difference
PO100011,V0012,"Wagner, Willis and Alexander",2025-03-10,Closed,1913.06,USD,1,2070.99,157.93,8.26,INV200012,Received,Exception - Review,Over-billed - do not pay difference
PO100361,V0009,Arias LLC,2025-04-04,Closed,2893.37,USD,2,2684.13,-209.24,-7.23,"INV200471, INV200472",Received,Exception - Review,Under-billed - expect further invoices
PO100190,V0007,"Taylor, Johnson And Morgan",2025-08-05,Closed,9806.60,USD,3,10051.43,244.83,2.50,"INV200239, INV200240, INV200241",Received,Matched,Within tolerance
PO100013,V0035,Baker Llc,2025-09-30,Closed,4660.75,GBP,1,4776.18,115.43,2.48,INV200016,Received,Matched,Within tolerance
PO100100,V0042,"Woodard, Harrell and Bell",2026-05-07,Closed,31552.24,USD,1,32334.08,781.84,2.48,INV200119,Received,Matched,Within tolerance
PO100269,V0040,Martinez-Mcmahon,2026-01-30,Closed,1836.58,USD,1,1791.11,-45.47,-2.48,INV200352,Received,Matched,Within tolerance
PO100049,V0032,Klein and Sons,2025-04-01,Open,16843.38,USD,1,17260.00,416.62,2.47,INV200055,Received,Matched,Within tolerance
PO100116,V0003,"Stevenson, Walsh and Pierce",2026-02-15,Closed,14336.05,USD,1,13982.42,-353.63,-2.47,INV200142,Received,Matched,Within tolerance
PO100102,V0018,"Brennan, Lewis and Reilly",2025-12-30,Closed,11904.09,USD,1,12196.53,292.44,2.46,INV200123,Received,Matched,Within tolerance
PO100207,V0020,Wood Inc,2025-10-31,Closed,27767.47,USD,3,28447.46,679.99,2.45,"INV200263, INV200264, INV200265",Received,Matched,Within tolerance
PO100360,V0009,Arias LLC,2026-01-19,Closed,7245.76,USD,2,7068.30,-177.46,-2.45,"INV200469, INV200470",Received,Matched,Within tolerance
PO100031,V0038,Ray Inc,2025-10-17,Partially Received,17338.61,USD,3,16915.91,-422.70,-2.44,"INV200037, INV200038, INV200039",Received,Matched,Within tolerance
PO100050,V0024,Ramos-Hall,2026-03-06,Closed,11988.67,USD,1,11695.72,-292.95,-2.44,INV200056,Received,Matched,Within tolerance
PO100073,V0009,Arias LLC,2025-08-22,Closed,29772.44,USD,1,30499.24,726.80,2.44,INV200083,Received,Matched,Within tolerance
PO100306,V0047,"Sutton, Parker and Scott",2026-06-09,Open,3451.75,USD,1,3535.82,84.07,2.44,INV200395,Received,Matched,Within tolerance
PO100405,V0028,"Ramirez, Lynch and Hogan",2025-07-12,Closed,28700.14,USD,1,28000.84,-699.30,-2.44,INV200533,Received,Matched,Within tolerance
PO100372,V0038,Ray Inc,2025-11-12,Open,2483.11,USD,3,2543.54,60.43,2.43,"INV200489, INV200490, INV200491",NO GOODS RECEIPT,Matched,Within tolerance
PO100157,V0030,Wallace-Rodriguez,2026-02-15,Closed,23095.60,USD,1,23654.16,558.56,2.42,INV200193,Received,Matched,Within tolerance
PO100316,V0024,Ramos-Hall,2026-06-26,Closed,27473.13,USD,1,26808.96,-664.17,-2.42,INV200406,Received,Matched,Within tolerance
PO100132,V0018,"Brennan, Lewis and Reilly",2026-06-01,Closed,2557.76,USD,1,2496.01,-61.75,-2.41,INV200162,Received,Matched,Within tolerance
PO100245,V0022,Gallagher-Mason,2024-10-10,Cancelled,5108.40,USD,1,5231.35,122.95,2.41,INV200320,Received,Matched,Within tolerance
PO100450,V0024,Ramos-Hall,2025-02-28,Open,9716.49,USD,2,9482.48,-234.01,-2.41,"INV200598, INV200599",Received,Matched,Within tolerance
PO100152,V0021,"Esparza, Arnold and Mercer",2025-04-03,Closed,9366.71,USD,1,9590.18,223.47,2.39,INV200187,Received,Matched,Within tolerance
PO100392,V0045,Wolfe-Macdonald,2024-12-23,Open,8199.40,USD,2,8003.25,-196.15,-2.39,"INV200515, INV200516",Received,Matched,Within tolerance
PO100082,V0002,"Arnold, Mitchell and Jones",2025-01-25,Closed,3599.16,USD,1,3684.92,85.76,2.38,INV200093,Received,Matched,Within tolerance
PO100435,V0050,Sims Ltd,2024-11-23,Open,49235.72,USD,1,48069.88,-1165.84,-2.37,INV200576,Received,Matched,Within tolerance
PO100187,V0009,Arias LLC,2025-09-29,Partially Received,6846.45,USD,1,6685.02,-161.43,-2.36,INV200236,Received,Matched,Within tolerance
PO100382,V0004,Arroyo Ltd,2025-09-08,Closed,6765.83,GBP,2,6606.18,-159.65,-2.36,"INV200503, INV200504",Received,Matched,Within tolerance
PO100118,V0009,Arias LLC,2025-05-22,Open,14890.55,USD,1,15240.41,349.86,2.35,INV200144,NO GOODS RECEIPT,Matched,Within tolerance
PO100198,V0024,Ramos-Hall,2025-02-05,Open,21082.55,USD,2,20586.19,-496.36,-2.35,"INV200252, INV200253",Received,Matched,Within tolerance
PO100385,V0001,Johnson Ltd,2025-08-11,Closed,10891.61,USD,2,11146.91,255.30,2.34,"INV200507, INV200508",Received,Matched,Within tolerance
PO100288,V0047,"Sutton, Parker and Scott",2025-10-14,Open,1093.79,USD,2,1119.28,25.49,2.33,"INV200375, INV200376",NO GOODS RECEIPT,Matched,Within tolerance
PO100200,V0035,Baker Llc,2025-01-19,Closed,7164.41,GBP,2,7330.36,165.95,2.32,"INV200255, INV200256",Received,Matched,Within tolerance
PO100332,V0032,Klein and Sons,2026-03-22,Closed,3977.48,USD,1,3885.21,-92.27,-2.32,INV200425,Received,Matched,Within tolerance
PO100007,V0048,"Williams, Hodges And Lee",2024-12-02,Closed,11163.50,USD,2,11421.16,257.66,2.31,"INV200008, INV200009",Received,Matched,Within tolerance
PO100462,V0047,"Sutton, Parker and Scott",2024-09-14,Open,1025.88,USD,1,1002.22,-23.66,-2.31,INV200612,NO GOODS RECEIPT,Matched,Within tolerance
PO100067,V0008,"Winters, Campbell and Carr",2025-07-21,Partially Received,902.40,EUR,2,923.13,20.73,2.30,"INV200075, INV200076",Received,Matched,Within tolerance
PO100268,V0049,"Gallagher, Taylor and Perry",2025-04-28,Open,4264.83,USD,1,4166.76,-98.07,-2.30,INV200351,Received,Matched,Within tolerance
PO100130,V0048,"Williams, Hodges And Lee",2026-04-20,Closed,44857.25,USD,1,43838.48,-1018.77,-2.27,INV200159,Received,Matched,Within tolerance
PO100163,V0002,"Arnold, Mitchell and Jones",2025-01-26,Closed,1401.84,USD,3,1433.60,31.76,2.27,"INV200201, INV200202, INV200203",Received,Matched,Within tolerance
PO100327,V0040,Martinez-Mcmahon,2025-11-08,Closed,1582.54,USD,2,1618.42,35.88,2.27,"INV200417, INV200418",Received,Matched,Within tolerance
