INVOICE_ID,INVOICE_DATE,VENDOR_ID,VENDOR_NAME,CATEGORY_AT_INVOICE_DATE,TERMS_AT_INVOICE_DATE,VENDOR_VERSION,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,CATEGORY_TODAY,TERMS_TODAY,TERMS_CHANGED_SINCE,AMOUNT_USD,DUE_DATE,ACTUAL_TERMS_GRANTED_ON_INVOICE,STANDARD_TERMS_AT_THE_TIME,STATUS
INV200645,2024-11-28,V0001,Johnson Ltd,Raw Materials,NET30,1,2022-05-24,2025-09-09,IT Services,NET45,YES - a current-only table would report NET45,5279.64,2024-12-28,30,30,Paid
INV200433,2025-02-28,V0001,Johnson Ltd,Raw Materials,NET30,1,2022-05-24,2025-09-09,IT Services,NET45,YES - a current-only table would report NET45,14984.03,2025-03-30,30,30,Paid
INV200434,2025-03-16,V0001,Johnson Ltd,Raw Materials,NET30,1,2022-05-24,2025-09-09,IT Services,NET45,YES - a current-only table would report NET45,11483.73,2025-04-15,30,30,Paid
INV200447,2025-03-23,V0001,Johnson Ltd,Raw Materials,NET30,1,2022-05-24,2025-09-09,IT Services,NET45,YES - a current-only table would report NET45,40441.47,2025-04-22,30,30,Paid
INV200507,2025-09-04,V0001,Johnson Ltd,Raw Materials,NET30,1,2022-05-24,2025-09-09,IT Services,NET45,YES - a current-only table would report NET45,6687.30,2025-10-04,30,30,Paid
INV200288,2025-09-16,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,8694.21,2025-10-31,45,45,Paid
INV200508,2025-09-17,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,4459.61,2025-11-01,45,45,Paid
INV200414,2025-09-25,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,31198.28,2025-11-09,45,45,Paid
INV200289,2025-09-28,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,10837.06,2025-11-12,45,45,Paid
INV200415,2025-10-09,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,592.64,2025-11-23,45,45,Paid
INV200499,2025-10-18,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,59918.18,2025-12-02,45,45,Paid
INV200416,2025-10-19,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,28054.03,2025-12-03,45,45,Paid
INV200500,2025-11-11,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,30905.95,2025-12-26,45,45,Paid
INV200535,2025-12-12,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,23644.83,2026-01-26,45,45,Paid
INV200145,2026-01-11,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,89561.19,2026-02-25,45,45,Paid
INV200536,2026-01-16,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,6201.80,2026-03-02,45,45,Paid
INV200488,2026-01-31,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,43804.32,2026-03-17,45,45,Paid
INV200324,2026-04-11,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,67894.98,2026-05-26,45,45,Paid
INV200126,2026-08-12,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,7731.38,2026-09-26,45,45,Unpaid
INV200662,2026-08-13,V0001,Johnson Ltd,IT Services,NET45,2,2025-09-10,9999-12-31,IT Services,NET45,no,7731.38,2026-09-27,45,45,Unpaid
INV200234,2024-11-26,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,4078.59,2025-01-10,45,45,Paid
INV200235,2024-12-24,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,4563.56,2025-02-07,45,45,Paid
INV200506,2025-01-29,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,673.48,2025-03-15,45,45,Paid
INV200201,2025-03-04,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,302.70,2025-04-18,45,45,Paid
INV200202,2025-03-06,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,41.46,2025-04-20,45,45,Paid
INV200093,2025-03-06,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,3684.92,2025-04-20,45,45,Paid
INV200203,2025-05-15,V0002,"Arnold, Mitchell and Jones",Logistics,NET45,1,2024-08-09,2025-11-08,Logistics,2/10 NET30,YES - a current-only table would report 2/10 NET30,1089.44,2025-06-29,45,45,Paid
